Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Tennessee,2878000,316200.0,103900.0,223700,868000,476400,317900,118800.0,927700,6230500,,2011
Texas,11178500,1042800.0,291900.0,634200,3376400,1276000,975400,463100.0,5767900,25006100,,2011
Utah,1596400,174300.0,53700.0,47800,221300,149500,80500,26600.0,417400,2767500,,2011
Vermont,306200,25100.0,17900.0,25500,99800,50800,23500,7300.0,43500,599800,,2011
Virginia,4287500,401100.0,67700.0,169700,601300,615100,301000,366100.0,974100,7783700,,2011
Washington,3335900,404800.0,135200.0,185600,735600,501300,237700,176700.0,941600,6654400,,2011
West Virginia,820200,39700.0,32800.0,74600,246500,180600,105900,23900.0,278100,1802200,,2011
Wisconsin,3054500,251000.0,116600.0,179500,715500,444000,224700,52200.0,511900,5549900,,2011
Wyoming,295800,34700.0,7800.0,14300,37700,40100,23200,13000.0,85100,551600,,2011
Puerto Rico,995400,301500.0,49600.0,267400,1336000,139900,278900,20200.0,282900,3671700,,2011
Alabama,2210500,233300.0,82200.0,198400,623000,391200,234600,98500.0,624300,4696000,,2012
Alaska,349100,18000.0,13700.0,17100,77500,28700,16500,42300.0,143500,706200,,2012
Arizona,2726700,336100.0,94500.0,176600,974000,488000,361100,112200.0,1117200,6386300,,2012
Arkansas,1220500,122400.0,42000.0,118200,432200,226200,175600,53500.0,469600,2860200,,2012
California,16880200,2328200.0,554200.0,1265000,5590700,1999100,1526300,418500.0,6659200,37221500,,2012
Colorado,2536300,378400.0,63300.0,116700,556500,332800,190100,139800.0,731900,5045900,,2012
Connecticut,1948400,154300.0,49100.0,105300,446200,277500,149200,25400.0,323900,3479300,,2012
Delaware,461900,31500.0,22200.0,28800,133500,88600,34200,12000.0,75300,888000,,2012
District of Columbia,314000,33600.0,16400.0,24900,120000,30300,15100,8500.0,33200,596000,,2012
Florida,7373000,1116600.0,207000.0,722300,2354200,1633600,1333900,363300.0,3773100,18876900,,2012
Georgia,4497700,448100.0,126800.0,298600,1235700,572600,412800,234100.0,1790000,9616400,,2012
Hawaii,695500,64100.0,22100.0,35300,171700,118900,49200,85400.0,88000,1330300,,2012
Idaho,733400,116200.0,31400.0,40700,171800,122100,69800,26200.0,250800,1562500,,2012
Illinois,6549300,622000.0,174700.0,301500,1747100,930700,512100,98100.0,1632400,12567900,,2012
Indiana,3322300,253200.0,95200.0,161100,723100,516300,291500,57000.0,918900,6338800,,2012
Iowa,1623100,198400.0,70500.0,102400,317000,282100,104700,27100.0,250700,2976000,,2012
Kansas,1480400,161600.0,39300.0,67500,265000,230100,113300,76400.0,354100,2787500,,2012
Kentucky,2031800,183200.0,61400.0,163400,557200,341200,225600,90800.0,580500,4235100,,2012
Louisiana,1914900,229100.0,81000.0,171800,742600,290000,209400,74500.0,743900,4457000,,2012
Maine,597700,50800.0,25600.0,69800,206400,127500,58400,22300.0,133900,1292600,,2012
Maryland,3252300,279200.0,78400.0,140500,641200,439300,182700,123600.0,585500,5722700,,2012
Massachusetts,3710700,293700.0,159800.0,258200,992700,501100,216300,28000.0,250100,6410600,,2012
Michigan,4865900,427400.0,200800.0,328400,1346300,978600,317600,75500.0,1119000,9659300,,2012
